GeneID,KEGG,KEGG_Description
Ghir_A01G002240,ko00010,Glycolysis / Gluconeogenesis
Ghir_A01G008810,ko00010,Glycolysis / Gluconeogenesis
Ghir_A01G008820,ko00010,Glycolysis / Gluconeogenesis
Ghir_A01G008950,ko00010,Glycolysis / Gluconeogenesis
Ghir_A01G009620,ko00010,Glycolysis / Gluconeogenesis
Ghir_A01G010360,ko00010,Glycolysis / Gluconeogenesis
Ghir_A01G015660,ko00010,Glycolysis / Gluconeogenesis
Ghir_A01G018310,ko00010,Glycolysis / Gluconeogenesis
Ghir_A01G020140,ko00010,Glycolysis / Gluconeogenesis
Ghir_A01G020200,ko00010,Glycolysis / Gluconeogenesis
Ghir_A01G020250,ko00010,Glycolysis / Gluconeogenesis
Ghir_A01G020260,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G001190,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G005370,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G005380,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G005390,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G005770,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G006900,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G006920,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G006930,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G006950,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G006960,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G007640,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G009250,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G009880,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G011710,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G012460,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G013040,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G014050,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G014510,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G014600,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G016230,ko00010,Glycolysis / Gluconeogenesis
Ghir_A02G018490,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G001450,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G002920,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G005080,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G008550,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G012290,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G012320,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G014410,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G014420,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G014430,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G015680,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G016120,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G016790,ko00010,Glycolysis / Gluconeogenesis
Ghir_A03G018510,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G007190,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G007210,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G007450,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G007950,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G009260,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G009270,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G009480,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G013420,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G013900,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G015450,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G016200,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G016340,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G016350,ko00010,Glycolysis / Gluconeogenesis
Ghir_A04G016370,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G000370,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G002840,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G005410,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G006080,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G007160,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G009760,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G013640,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G014120,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G014760,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G015220,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G016120,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G018070,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G022540,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G023350,ko00010,Glycolysis / Gluconeogenesis
Ghir_A05G023360,ko00010,Glycolysis / Gluconeogenesis
